text,label,annotation_notes
"I always think these things should be segmented. is he their best all around player? How's his pressing and defensive stats? Can he ping around passes like a Gerrard? He's mint at what he does, no doubt but who would win 11 Salahs Vs 11 Gerrards? My money would be on Gerrard. Greatest ever forward, absolutely, greatest player? Depends.on how you perceive the question I suppose.",hot_take,Bold opinion or claim asserted without checkable evidence.
"The moment partey leaves, and arsenal will win the titles it deserves. But on a serious note yeah partey is useful vs top 6 teams but completely useless against low block or compact pressing block like newcastle and aston villa. Slows the game too much i prefer jorgi.",hot_take,Bold opinion or claim asserted without checkable evidence.
"I don’t know about lucky. Liverpool have had really bad luck with referees for a few years now. I know other teams get it aswell, but the way Liverpool are refereed is like death by a thousand cuts. Obviously VAR sorts out, or should sort out, the major decisions. The ones in the middle of the park are still up to the referee and don’t get any scrutiny. If you have more possession, but also lose more fouls how can you be lucky. I actually think it’s one of the minor reasons Klopp left. There’s not much point in pressing if the ref brings it back for a foul so often.",hot_take,Bold opinion or claim asserted without checkable evidence.
"You’d be mad not to agree. We’re robbing Ode and our wingers of the slightest possibility of space for creation without one. No one pressing or pulling the defensive line. No runs in behind. Nothing. Tired of our midfielders having to pass it outside for nothing to happen. With a PURE striker, at least you get a different attacking dynamic. Havertz is great and all, but he is far from a striker. Disappointed we gambled instead of, in the least, get a loan deal for someone.",hot_take,Bold opinion or claim asserted without checkable evidence.
"There’s these mental gymnastics again. Nunez does play more reserved, but that has more to do with the level of pressing. Going forward, he most certainly has a license to get into scoring positions. He just biffs them every single time he gets a chance.",hot_take,Bold opinion or claim asserted without checkable evidence.
"if anything results domestically have gotten worse, you'd hope to be given time to ring the changes to fit his formation...but a shit show against an equally bad Spurs who could be missing a few players and he could be gone",hot_take,Bold opinion or claim asserted without checkable evidence.
Still gutted we had to sell Anderson.,reaction,"Emotional/expressive, joke, or insult with no claim to defend."
As an Arsenal fan bit gutted we couldn’t do it again this year but much happier to see Liverpool win it than Citeh buy another title again.,reaction,"Emotional/expressive, joke, or insult with no claim to defend."
Absolute sickening. A league started by working class for working class completely gutted and hallowed for profits,reaction,"Emotional/expressive, joke, or insult with no claim to defend."
Gutted we’re winning number 20 lad,reaction,"Emotional/expressive, joke, or insult with no claim to defend."
"Also, as a side note, gutted you lost to Villa. Was hoping you lot would catch Arsenal.",reaction,"Emotional/expressive, joke, or insult with no claim to defend."
"Yeah I’m sure you’ll find many Liverpool fans gutted we’re “only” going to win the league lad lmao 9th trophy in 6 years, feels good lad",reaction,"Emotional/expressive, joke, or insult with no claim to defend."
"As an Everton fan, I was gutted to learn that we scouted him first but failed to keep him. In hind sight, it was a bullet dodged.",reaction,"Emotional/expressive, joke, or insult with no claim to defend."
"2006 Champions League Final. As an Arsenal fan, still gutted. Man down, holding on to a 1-0 lead until the last quarter hour, having more chances, then not making it. Ugh.",reaction,"Emotional/expressive, joke, or insult with no claim to defend."
Congrats to Newcastle it was a fully deserved win. Obviously gutted by the result but genuinely happy for their fanbase.,reaction,"Emotional/expressive, joke, or insult with no claim to defend."
As a liverpool fan I kinda agree. If there was one team to lose to I would pick Newcastle. I'm gutted but fair play to them they deserved it.,reaction,"Emotional/expressive, joke, or insult with no claim to defend."
I’m sure he’s gutted you don’t rate him.,reaction,"Emotional/expressive, joke, or insult with no claim to defend."
Yes ! I was gutted when we sold him,reaction,"Emotional/expressive, joke, or insult with no claim to defend."
I can only imagine Salah is absolutely gutted at being snubbed by the legendary Troy Deeney,reaction,"Emotional/expressive, joke, or insult with no claim to defend."
I’m honestly not surprised. He looked dangerous when we played them and you could see there was a top player in there. gutted we didn’t make a move for him,reaction,"Emotional/expressive, joke, or insult with no claim to defend."
Gutted this couldn't have come a week earlier tbh. Imagine the scenes of Heitinga managing Liverpool against Everton.,reaction,"Emotional/expressive, joke, or insult with no claim to defend."
I'm sure the Arsenal players are gutted by that mate,reaction,"Emotional/expressive, joke, or insult with no claim to defend."
"Absolutely this. I was gutted when he left, even though I fully understood the reasoning behind it. In his pomp, Bobby was a vital cog in our machine, and was, as you said, just a pure joy to watch.",reaction,"Emotional/expressive, joke, or insult with no claim to defend."
"Ashley decided to go on X to post ""Gutted....""",reaction,"Emotional/expressive, joke, or insult with no claim to defend."
"Slightly unrelated but my grandad who passed away last year was a massive forest fan, I'm gutted he didn't get to see them play like the good old days, again. Naturally I have a soft spot for them even if they take a European spot at my clubs (villa) expense. Up the Forest.",reaction,"Emotional/expressive, joke, or insult with no claim to defend."
Gutted when he went.,reaction,"Emotional/expressive, joke, or insult with no claim to defend."
"I agree. I love the unpredictability this season and not just because I support Newcastle. Yesterday was a great FA Cup final, and I'm really buzzing for Palace knowing how good our parade was. And the fact that next season, English clubs are likely to have another good run. The league is only over for Liverpool and the relegated 3. The amount of things up in the air till the last day of the season most definitely gives fans a hell of a final day. How someone can call it a poor season shows how little this person knows on football matters and is mist likely a placca.",reaction,"Emotional/expressive, joke, or insult with no claim to defend."
100% buzzing. Getting that shit booked in,reaction,"Emotional/expressive, joke, or insult with no claim to defend."
"I’m low key jealous of the kopites and the parade etc id love us to win a cup and have a blue one for a change The city is going to be buzzing at the end of the month apart from us grumpy lot pretending we don’t care looking on envious Still hate them mind, they’re horrible",reaction,"Emotional/expressive, joke, or insult with no claim to defend."
Fuck me how far have you lot fallen off you’re buzzing off our banter now,reaction,"Emotional/expressive, joke, or insult with no claim to defend."
We're just buzzing that wor Eddie is back,reaction,"Emotional/expressive, joke, or insult with no claim to defend."
"A great performance, two of the best free kicks any football fan could wish to see and a European night that will go down in history. Marvellous viewing! Not even an Arsenal fan and I'm buzzing.",reaction,"Emotional/expressive, joke, or insult with no claim to defend."
He was progressively getting better and better when he was taking free kicks for us. Great to see him progress to the point of scoring 2 unreal free kicks against one of the best big game goalkeepers still around… in the ucl! Buzzing for him.,reaction,"Emotional/expressive, joke, or insult with no claim to defend."
"People were calling us delusional for even thinking we could win 1-0 tonight. Buzzing for us to win the general election AND great British bake off, it’s already in the bag! COYG",reaction,"Emotional/expressive, joke, or insult with no claim to defend."
I cried. I’m 35 and seen us lose 3 finals. My mother died in 2018 at 52 and never got to witness them win. Our Julie would be fucking buzzing!,reaction,"Emotional/expressive, joke, or insult with no claim to defend."
Enjoy every second. Was buzzing throughout the game. That last 5 minutes felt like hell though.,reaction,"Emotional/expressive, joke, or insult with no claim to defend."
"It certainly had that feel about it mate. I was watching it with my best mate who is a Liverpool fan, a goalkeeper and must be one of Alisson's biggest advocates, he was buzzing lol.",reaction,"Emotional/expressive, joke, or insult with no claim to defend."
Bitter? I've had a crate of Stella and we're 6-1 up I'm buzzing,reaction,"Emotional/expressive, joke, or insult with no claim to defend."
I would be BUZZING,reaction,"Emotional/expressive, joke, or insult with no claim to defend."
“Visual 5-second countdown” Absolutely buzzing to see the deep analysis as to how this all a rouse against Arsenal!,reaction,"Emotional/expressive, joke, or insult with no claim to defend."
ArsenStoke will be absolutely buzzing.,reaction,"Emotional/expressive, joke, or insult with no claim to defend."
